Scenario - phase2_matchingPennies_algorithm1
Logfile written - 10/27/2019 11:17:28

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

873	68	Response	3	2127324	2626	6
873	68	Port Input	4	2127324	2626	6
873	68	Response	3	2128472	3774	6
873	68	Port Input	4	2128472	3774	6
873	68	Response	3	2129687	4989	6
873	68	Port Input	4	2129687	4989	6
873	68	Response	3	2131010	6312	6
873	68	Port Input	4	2131010	6312	6
873	68	Response	3	2132506	7808	5
873	68	Port Input	4	2132506	7808	5
873	68	Response	3	2133844	9146	6
873	68	Port Input	4	2133844	9146	6
873	68	Response	3	2135688	10990	6
873	68	Port Input	4	2135688	10990	6
873	69	Nothing	19	2158335	0	1			0		other	0
873	70	Nothing	52	2169968	0	1			0		other	0
873	70	Response	2	2170938	970	5
873	70	Port Input	1	2170938	970	5
873	71	Nothing	110	2170970	0	1			0		false_alarm	357
873	71	Response	2	2172221	1251	4
873	71	Port Input	1	2172221	1251	4
873	72	Nothing	19	2204533	0	1			0		other	0
873	72	Response	2	2211989	7456	6
873	72	Port Input	1	2211989	7456	6
873	73	Nothing	19	2230737	0	1			0		other	0
873	74	Nothing	52	2267530	0	1			0		other	0
873	74	Response	3	2269204	1674	5
873	74	Port Input	4	2269204	1674	5
873	75	Nothing	111	2269242	0	1			0		false_alarm	367
873	75	Response	3	2270478	1236	4
873	75	Port Input	4	2270478	1236	4
873	75	Response	3	2272845	3603	4
873	75	Port Input	4	2272845	3603	4
873	75	Response	3	2275476	6234	5
873	75	Port Input	4	2275476	6234	5
873	75	Response	3	2276870	7628	6
873	75	Port Input	4	2276870	7628	6
873	75	Response	3	2278360	9118	6
873	75	Port Input	4	2278360	9118	6
873	75	Response	3	2279893	10651	6
873	75	Port Input	4	2279893	10651	6
873	76	Nothing	19	2302784	0	1			0		other	0
873	77	Nothing	52	2318915	0	1			0		other	0
873	77	Response	2	2321533	2618	6
873	77	Port Input	1	2321533	2618	6
873	78	Nothing	110	2321567	0	1			0		false_alarm	384
873	78	Response	2	2322776	1209	5
873	78	Port Input	1	2322776	1209	5
873	79	Nothing	19	2355238	0	1			0		other	0
873	81	Nothing	52	2369026	0	1			0		other	0
873	81	Response	3	2370593	1567	5
873	81	Port Input	4	2370593	1567	5
873	82	Nothing	111	2370634	0	2			0		false_alarm	391
873	82	Response	3	2372237	1603	6
873	82	Port Input	4	2372237	1603	6
873	82	Response	3	2373406	2772	4
873	82	Port Input	4	2373406	2772	4
873	82	Response	3	2374457	3823	6
873	82	Port Input	4	2374457	3823	6
873	82	Response	3	2375782	5148	6
873	82	Port Input	4	2375782	5148	6
873	82	Response	3	2377247	6613	6
873	82	Port Input	4	2377247	6613	6
873	82	Response	3	2378662	8028	4
873	82	Port Input	4	2378662	8028	4
873	82	Response	3	2380403	9769	6
873	82	Port Input	4	2380403	9769	6
873	82	Response	3	2383289	12655	5
873	82	Port Input	4	2383289	12655	5
873	82	Response	3	2383293	12659	5
873	82	Port Input	4	2383293	12659	5
873	82	Response	3	2384610	13976	6
873	82	Port Input	4	2384610	13976	6
873	82	Response	3	2386234	15600	6
873	82	Port Input	4	2386234	15600	6
873	83	Nothing	19	2404119	0	1			0		other	0
873	84	Nothing	52	2424952	0	1			0		other	0
873	84	Response	2	2426404	1452	6
873	84	Port Input	1	2426404	1452	6
873	85	Nothing	110	2426440	0	1			0		false_alarm	418
873	85	Response	2	2427628	1188	5
873	85	Port Input	1	2427628	1188	5
873	86	Nothing	19	2460042	0	1			0		other	0
873	87	Nothing	52	2470346	0	1			0		other	0
873	87	Response	3	2471713	1367	6
873	87	Port Input	4	2471713	1367	6
873	88	Nothing	111	2471753	0	1			0		false_alarm	425
873	88	Response	3	2472982	1229	6
873	88	Port Input	4	2472982	1229	6
873	88	Response	3	2474405	2652	6
873	88	Port Input	4	2474405	2652	6
873	88	Response	3	2475413	3660	7
873	88	Port Input	4	2475413	3660	7
873	88	Response	3	2476633	4880	6
873	88	Port Input	4	2476633	4880	6
873	88	Response	3	2478205	6452	6
873	88	Port Input	4	2478205	6452	6
873	88	Response	3	2479441	7688	5
873	88	Port Input	4	2479441	7688	5
873	88	Response	3	2480968	9215	4
873	88	Port Input	4	2480968	9215	4
873	88	Response	3	2482213	10460	6
873	88	Port Input	4	2482213	10460	6
873	88	Response	3	2483913	12160	6
873	88	Port Input	4	2483913	12160	6
873	88	Response	3	2485649	13896	6
873	88	Port Input	4	2485649	13896	6
873	88	Response	3	2486830	15077	6
873	88	Port Input	4	2486830	15077	6
873	88	Response	3	2488412	16659	9
873	88	Port Input	4	2488412	16659	9
873	89	Nothing	19	2505274	0	1			0		other	0
873	90	Nothing	51	2538806	0	1			0		other	0
873	90	Response	2	2539655	849	6
873	90	Port Input	1	2539655	849	6
